START DATE,START TIME,SUBJECT,LOCATION,END DATE,END TIME,END TIME ET,REMINDER ON/OFF,REMINDER DATE,REMINDER TIME,REMINDER TIME ET
8/31/2012,7:00 PM PT,Stanford Football vs. San Jose State ,STANFORD STADIUM,8/31/2012,10:00 PM PT,10:00 PM PT,TRUE,,8:00 AM,8:00 AM
9/8/2012,7:30 PM PT,Stanford Football vs.  Duke,STANFORD STADIUM,9/8/2012,10:30 PM PT,10:30 PM PT,TRUE,,8:00 AM,8:00 AM
9/15/2012,4:30 PM PT,Stanford Football vs. USC,STANFORD STADIUM,9/15/2012,7:30 PM PT,7:30 PM PT,TRUE,,8:00 AM,8:00 AM
9/27/2012,6:00 PM PT,Stanford Football at Washington,"Seattle, WA",9/27/2012,9:00 PM PT,9:00 PM PT,TRUE,,8:00 AM,8:00 AM
10/6/2012,TBA,Stanford Football vs. Arizona,STANFORD STADIUM,10/6/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
10/13/2012,TBA,Stanford Football at Notre Dame,"South Bend, IN",10/13/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
10/20/2012,TBA,Stanford Football at California,"Berkeley, CA",10/20/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
10/27/2012,TBA,Stanford Football vs. Washington State,STANFORD STADIUM,10/27/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
11/3/2012,TBA,Stanford Football at Colorado,"Boulder, CA",11/3/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
11/10/2012,TBA,Stanford Football vs. Oregon State,STANFORD STADIUM,11/10/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
11/17/2012,TBA,Stanford Football at Oregon,"Eugene, OR",11/17/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
11/24/2012,TBA,Stanford Football at UCLA,"Pasadena, CA",11/24/2012,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
11/30/2011,TBA,PAC-12 Championship Game,TBA,11/30/2011,3:30 PM PT,3:30 PM PT,TRUE,,8:00 AM,8:00 AM
